symbol,name,industry,score,scoreValue,scoreQuality,scoreGrowth,scoreSafety,scoreBonus,dataCoverage,price,peRatio,pbRatio,roe,netMargin,revenueGrowth,netIncomeGrowth,debtEquity,dividendYield,dollarVolume,analystRating,priceTarget,upsidePct,lastTradeDate
CIEB,Credit Agricole - Egypt Bank (S.A.E.),Commercial Banks,70.7,80.0,66.1,30.6,67.2,9.2,4/4,24.58,4.92,1.37251,32.98,47.63,-0.134,-5.132,0.098,13.06,6714494,Strong Buy,32.91,33.89,2026-08-20
ISMQ,Iron & Steel for Mines & Quarries,Metal Mining,70.7,26.9,91.1,54.6,92.4,7.8,4/4,9.16,18.0,12.73805,72.38,47.17,18.286,11.385,,4.62,21577919,n/a,,,2026-08-20
HELI,Heliopolis Co. for Housing & Development,"Land Subdividers and Developers, Except Cemeteries",70.1,48.4,71.8,71.1,55.6,7.9,4/4,7.69,12.28,2.88048,24.28,82.12,124.945,8.233,0.624,5.84,182564753,Buy,10.0,30.04,2026-08-20
CPCI,Kahira Pharmaceuticals & Chemical Industries Company,Pharmaceutical Preparations,69.8,42.8,79.5,70.2,61.3,6.4,4/4,532.09,15.75,6.84164,47.65,21.11,30.298,25.161,0.145,3.12,14630347,n/a,,,2026-08-20
MASR,Madinet Masr For Housing and Development,"Land Subdividers and Developers, Except Cemeteries",69.7,86.0,61.6,56.5,27.4,7.2,4/4,7.65,5.65,1.26294,29.34,24.05,37.391,3.793,0.547,1.96,34307878,Strong Buy,11.08,44.84,2026-08-20
PRMH,Prime Holding S.A.E,"Security and Commodity Brokers, Dealers, Exchanges, and Services",69.3,71.8,65.1,87.8,41.5,0,4/4,2.36,7.41,1.65628,24.9,41.2,57.316,72.512,0.387,,8116665,n/a,,,2026-08-20
ALCN,Alexandria Container&Cargo Handling Company,Water Transportation,69.2,31.7,96.9,33.0,93.0,8.5,4/4,31.6,12.86,11.35816,,93.34,-9.631,-7.647,0.004,5.87,49420915,n/a,,,2026-08-20
ADIB,Abu Dhabi Islamic Bank - Egypt - S.A.E,Commercial Banks,69.2,75.1,67.8,63.7,34.1,5.3,4/4,53.86,5.64,1.85244,38.8,54.0,37.498,30.389,0.245,,85191978,Strong Buy,61.88,14.89,2026-08-20
ENGC,Industrial Engineering Company for Construction and Development (ICON) (S.A.E.),Fabricated Structural Metal Products,69.1,81.7,63.3,53.8,43.0,5.7,4/4,45.1,8.12,1.7344,34.39,10.55,17.35,8.59,0.541,2.78,11429107,n/a,,,2026-08-20
FAIT,Faisal Islamic Bank of Egypt,Commercial Banks,68.7,85.8,49.0,29.1,80.2,8.9,4/4,42.44,4.22,0.64593,15.72,51.77,-1.544,-6.276,0.002,7.15,9051391,n/a,,,2026-08-20
ORWE,Oriental Weavers Carpets Company (S.A.E),"Home Furniture, Furnishings, and Equipment Stores",68.7,90.9,36.4,51.5,67.3,7.5,4/4,25.36,8.43,0.77475,15.06,7.15,7.224,53.56,0.387,5.75,15805087,Buy,31.87,25.67,2026-08-20
ETEL,Telecom Egypt Company,"Telephone Communications, Except Radiotelephone",68.5,71.8,72.2,76.2,16.4,3.8,4/4,114.89,7.89,2.67649,43.37,21.89,22.366,94.755,0.989,1.3,105936852,Buy,122.4,6.54,2026-08-20
MICH,Misr Chemical Industries Co.,Chemicals and Allied Products,68.1,52.5,82.0,27.6,75.2,9.6,4/4,50,11.03,3.64951,37.47,43.75,12.978,-23.061,0.179,8.26,74509300,n/a,,,2026-08-20
EFID,Edita Food Industries Company (S.A.E),Bakery Products,67.8,51.8,75.4,79.6,26.3,5.8,4/4,32.49,14.38,7.16486,62.13,13.17,37.426,88.978,0.989,2.64,19058829,Buy,37.67,15.94,2026-08-20
ODIN,ODIN Investments (S.A.E),"Security and Commodity Brokers, Dealers, Exchanges, and Services",67.1,40.3,87.7,40.3,89.2,5.3,4/4,3.21,14.63,4.67678,38.0,64.13,28.233,-20.59,0.001,2.25,33714148,n/a,,,2026-08-20
MPCI,Memphis Pharmaceuticals & Chemical Industries,Pharmaceutical Preparations,67.0,33.3,87.5,52.6,70.3,7.1,4/4,375.63,16.47,12.04091,95.06,30.89,36.209,37.787,0.118,3.47,96428729,n/a,,,2026-08-20
ORAS,Orascom Construction PLC,Building Construction General Contractors and Operative Builders,66.9,89.6,37.7,88.3,44.2,0,4/4,750,7.43,1.60254,27.48,3.74,62.637,68.071,0.521,,124962750,n/a,,,2026-08-20
SCEM,Sinai Cement Co. (S.A.E),"Cement, Hydraulic",66.2,63.3,86.9,44.3,66.8,0,4/4,100,7.88,3.65873,58.37,34.96,26.502,8.196,0.025,,152226200,n/a,,,2026-08-20
RACC,Raya Customer Experience,Computer Processing and Data Preparation and Processing Services,66.1,86.3,56.1,69.6,39.8,0,4/4,10.03,7.83,1.55901,28.43,7.92,24.138,34.326,0.649,,20201684,n/a,,,2026-08-20
RAYA,Raya Holding Company for Financial Investments (S.A.E),"Computer Programming, Data Processing, And Other Computer Related Services",65.4,81.0,54.4,82.4,19.6,1.2,4/4,7,11.56,3.30299,42.24,3.89,40.297,50.604,2.826,0.57,28180733,n/a,,,2026-08-20
ZMID,Zahraa El Maadi Investment and Development Company SAE,Real Estate,65.4,46.6,82.2,55.9,42.0,6.5,4/4,7.81,13.13,3.37342,34.12,65.98,17.067,22.33,,3.16,359902685,n/a,,,2026-08-20
EGAL,Egypt Aluminum,Primary Production of Aluminum,65.1,54.2,79.5,27.3,91.5,4.4,4/4,330,12.73,4.74006,42.17,22.45,12.81,-23.248,0.003,2.34,73960920,Hold,345.5,4.7,2026-08-20
ADCI,The Arab Drug Company,Pharmaceutical Preparations,64.9,51.7,74.6,74.7,26.9,4.3,4/4,286.96,15.03,4.99633,41.55,17.23,29.272,40.304,0.739,1.47,7070120,n/a,,,2026-08-20
SAUD,alBaraka Bank Egypt S.A.E.,Commercial Banks,64.4,84.3,53.2,48.7,49.2,3.6,4/4,24.5,5.3,1.10099,26.19,39.25,16.225,7.156,0.412,3.47,36169570,Buy,19.7,-19.59,2026-08-20
FWRY,Fawry for Banking Technology and Electronic Payments S.A.E.,Computer Processing and Data Preparation and Processing Services,64.1,34.0,74.8,86.4,23.7,6.2,4/4,19.21,24.36,7.41013,45.63,28.69,49.038,59.225,0.515,,86084351,Strong Buy,22.45,16.87,2026-08-20
AMOC,Alexandria Mineral Oils Company,Petroleum Refining,63.9,76.0,42.5,42.7,84.7,5.0,4/4,11.35,9.94,3.47419,33.29,3.68,12.273,-1.2,0.007,7.05,103353815,Buy,10.18,-10.31,2026-08-20
