symbol,name,industry,price,marketCap,volume,dollarVolume,lastTradeDate,peRatio,forwardPE,pbRatio,psRatio,pegRatio,earningsYield,eps,epsGrowth,revenue,revenueGrowth,netIncome,netIncomeGrowth,netMargin,roe,roa,debtEquity,netDebtEquity,dividendYield,payoutRatio,beta,analystRating,analystCount,priceTarget,upsidePct,ch1y,price1m,price3m,price6m,priceYTD,week52High,week52Low,earningsDate,exDividendDate
IRON,Egyptian Iron and Steel Company,"Steel Works, Blast Furnaces, And Rolling And Finishing Mills",27.42,26790000000.0,467147,12809171,2026-09-15,14.32,,-3.95592,11.94043,,6.98,1.91,,2240000000.0,112.585,1870000000.0,,83.48,,,,0.085,,,-0.92,n/a,,,,-5.93,31.02,32.28,31.48,35.01,49.37,22.05,"Sep 24, 2026",n/a
CCAP,QALA For Financial Investments,"Investors, not elsewhere classified",6.73,26700000000.0,116813768,786156659,2026-09-15,,,0.40605,0.19705,,-4.68,-0.52,,135479999999.99998,-8.995,-1250000000.0,,-0.92,-3.55,2.35,1.184,1.145,,,0.09,n/a,,,,179.25,5.29,5.27,3.69,3.76,6.9,2.2,"Sep 10, 2026",n/a
SCEM,Sinai Cement Co. (S.A.E),"Cement, Hydraulic",94.85,24740000000.0,297101,28180030,2026-09-15,7.48,7.35,3.47413,2.68646,,13.01,12.67,-43.296,9210000000.0,26.502,3220000000.0,8.196,34.96,58.37,28.04,0.025,-0.79,,,0.32,n/a,,,,84.71,94.4,62.29,58.37,62.25,113,47.3,"Nov 11, 2026",n/a
CLHO,Cleopatra Hospitals Group S.A.E.,Hospitals,16.15,23410000000.0,1978574,31953970,2026-09-15,48.36,25.24,5.49111,2.87069,,2.09,0.33,-28.953,8150000000.0,26.814,489520000.0,-24.208,6.01,20.02,8.19,0.933,0.828,,22.29,0.78,Hold,5,17.48,8.24,70.36,17.14,15.16,12.98,13.2,19.72,9.48,"Nov 26, 2026",n/a
CIRA,Cairo For Investment And Real Estate Developments-CIRA Education,Real Estate,39.81,23200000000.0,1234574,49148391,2026-09-15,24.42,,7.63723,3.88236,,4.1,1.63,257.601,5980000000.0,64.145,950090000.0,291.653,15.89,36.48,13.32,1.313,0.983,0.98,28.02,0.37,n/a,,,,186.4,38.23,26.87,17.46,17.37,41.74,13.85,"Oct 21, 2026","Dec 28, 2025"
BIOC,GlaxoSmithKline S.A.E,Pharmaceutical Preparations,273.78,22860000000.0,87328,23908660,2026-09-15,117.75,,10.47929,6.31935,,0.85,2.33,38.828,3620000000.0,2.805,194180000.0,31.112,5.36,9.15,4.75,0.82,0.725,0.22,51.48,0.31,n/a,,,,302.56,521.01,71.63,61.89,63.65,609,55.1,"Nov 16, 2026","Jan 12, 2026"
VALU,U Consumer Finance S.A.E.,Testing Laboratories,10.51,22140000000.0,1117154,11741289,2026-09-15,25.3,19.46,8.04194,15.01294,,4.11,0.42,50.06,1470000000.0,15.692,909970000.0,63.807,61.9,39.69,5.54,5.581,4.918,,,,n/a,,,,44.97,11.1,11.61,10.51,9.4,13.19,6.93,"Nov 10, 2026",n/a
MCQE,Misr Cement (Qena) Company (S.A.E),"Cement, Hydraulic",215.78,20710000000.0,104422,22532179,2026-09-15,7.97,8.25,4.60992,1.95318,,12.55,27.09,222.126,10610000000.0,42.917,2600000000.0,222.126,24.51,87.84,36.89,0.065,-0.338,0.41,61.64,0.55,Hold,2,213.45,-1.08,187.4,248.11,179.94,184.74,170.98,292.32,69,"Nov 12, 2026","Apr 23, 2026"
TAQA,TAQA Arabia S.A.E.,"Petroleum and Petroleum Products Wholesalers, Except Bulk Stations and Terminals",15.5,20680000000.0,1523041,23607136,2026-09-15,16.15,,3.87007,0.70093,,6.19,0.96,54.422,29510000000.0,30.005,1280000000.0,52.367,4.34,30.99,4.24,2.625,0.122,,,7.66,n/a,,,,26.74,15.42,15.82,13.23,14.49,18.3,11.6,"Nov 12, 2026",n/a
SKPC,Sidi Kerir Petrochemicals Co.,Industrial Organic Chemicals,18.1,20530000000.0,4903454,88752517,2026-09-15,38.91,13.93,3.02181,1.33321,,2.57,0.47,-75.621,15400000000.0,2.436,527500000.0,-73.579,3.43,8.91,1.66,0.352,0.168,2.64,73.33,-0.03,Hold,5,17.29,-4.48,20.35,16.6,16.55,18.15,15.68,19.94,14.2,"Nov 12, 2026","May 27, 2025"
PHAR,Egyptian International Pharmaceutical Industries Company,Pharmaceutical Preparations,117.77,19870000000.0,558923,65824362,2026-09-15,15.4,18.29,3.26151,2.01068,,6.24,7.65,6.029,9880000000.0,12.078,1240000000.0,8.332,12.55,20.51,7.24,1.651,1.615,1.16,49.46,0.57,Hold,2,108.2,-8.13,84.02,143,84.5,80.79,77.5,178.99,61.55,"Nov 12, 2026","Apr 28, 2026"
