symbol,date,price,trend,rsi,macdSignal,ma20,ma50,ma200,vsMa50Pct,vsMa200Pct,support,resistance,stopLoss,riskPct,high52,low52,fromHigh52Pct,atr,atrPct,volumeRatio
SKPC,2026-08-13,16.6,صاعد,56.0,صاعد,16.16,16.27,16.28,2.0,1.9,14.33,16.83,14.04,15.4,19.25,14.22,-13.8,0.34,2.07,1.09
CNFN,2026-08-13,4.91,صاعد قوي,53.2,هابط,4.9,4.78,4.64,2.8,5.8,4.67,5.19,4.58,6.7,5.79,3.9,-15.2,0.1,2.08,0.92
GOUR,2026-08-13,14.94,,55.8,صاعد,14.62,13.78,,8.4,,13.52,,13.25,11.3,15.8,9.2,-5.4,0.62,4.15,0.5
NHPS,2026-08-13,89.06,صاعد قوي,57.8,هابط,87.41,77.14,74.6,15.4,19.4,73.83,91.3,72.35,18.8,102.54,51.74,-13.1,4.54,5.1,1.91
RMDA,2026-08-13,6.49,صاعد قوي,66.3,صاعد,5.68,5.3,4.19,22.4,55.0,4.96,,4.86,25.1,6.94,3.07,-6.5,0.44,6.76,1.56
EFIC,2026-08-13,225.3,صاعد,72.1,صاعد,196.93,196.3,208.78,14.8,7.9,222.88,,199.82,11.3,230.05,174.92,-2.1,12.74,5.65,3.42
ICID,2026-08-13,13.55,صاعد قوي,89.7,صاعد,8.72,7.88,5.02,72.0,170.1,,,12.03,11.2,13.55,3.5,0.0,0.76,5.6,2.18
MOSC,2026-08-13,321.69,صاعد قوي,73.9,صاعد,294.4,282.18,213.26,14.0,50.8,297.66,,285.16,11.4,321.69,145.22,0.0,18.26,5.68,2.03
NCCW,2026-08-13,5.99,صاعد قوي,58.2,هابط,5.83,5.45,4.87,9.8,23.1,4.86,6.11,4.76,20.5,7.27,3.66,-17.6,0.29,4.92,0.98
AMES,2026-08-13,120.78,صاعد قوي,59.6,هابط,119.96,84.88,60.57,42.3,99.4,,141.4,102.66,15.0,141.4,28.95,-14.6,9.06,7.5,0.55
ISMA,2026-08-13,35,صاعد قوي,79.2,صاعد,31.19,29.73,18.43,17.7,89.9,31.9,,31.26,10.7,35,10.3,0.0,1.47,4.19,1.27
INFI,2026-08-13,152.26,صاعد قوي,66.7,صاعد,124.12,107.88,92.55,41.1,64.5,,,126.19,17.1,178.5,57.51,-14.7,13.03,8.56,4.41
CERA,2026-08-13,1.33,صاعد قوي,54.3,هابط,1.33,1.27,1.19,4.4,12.1,1.3,1.35,1.25,6.0,1.42,1.01,-6.3,0.04,3.06,0.85
AFMC,2026-08-13,239,صاعد قوي,70.5,صاعد,171.64,111.62,75.78,114.1,215.4,,,168.2,29.6,255,29.34,-6.3,35.4,14.81,1.5
SIPC,2026-08-13,4.68,صاعد قوي,61.4,صاعد,4.35,3.84,3.4,21.9,37.5,3.73,,3.66,21.8,5.11,2.66,-8.4,0.41,8.78,1.57
BIOC,2026-08-13,521.01,صاعد قوي,78.4,صاعد,290.47,159.7,88.7,226.2,487.4,,,347.51,33.3,550,43.06,-5.3,86.75,16.65,2.15
ARAB,2026-08-13,0.24,صاعد قوي,55.9,هابط,0.24,0.23,0.21,7.8,16.1,0.24,0.26,0.23,4.2,0.27,0.17,-10.6,0.01,3.12,0.6
